X,nom,ref,bp,married,age_married,where_met_spouse,how_met_spouse,married_before,times_married_before,prev_spouse_dead,prev_spouse_div,polygamy_ever,clan.x,clan_mum,clan_dad,clan_spouse,ref_spouse,bp_spouse,kids.x,kids_alive.x,house_num,house_ppl,time_camp,sex.x,region,year,camp_region,loc,people_number_2022,set_type
1,CAMP114,M202,Bangui,1,Adulte,Mboule,home_visit,1,1,,1,0,Bokiba,,,,203,Mboule,NA,3,1,5,1,M,Macao,2023,C,V,31,village_camp
2,CAMP114,M203,Bonga2,1,Adolescent,Mboule,funeral,0,,,NA,0,Bokobya,Sambala,Bokobya,Bokiba,200,Bangui,NA,3,1,5,1,F,Macao,2023,C,V,31,village_camp
3,CAMP114,M204,Bonga2,1,Adolescent,Boua,foraging,1,1,,1,1,Ebeke,Bombingo,Ebeke,Bokosso,206,Mboule,NA,3,2,5,2,F,Macao,2023,C,V,31,village_camp
4,CAMP114,M205,Bangui,1,Adolescent,mboule,funeral,0,,,NA,0,Bombela,,Bombela,,208,Mboule,NA,7,3,8,2,F,Macao,2023,C,V,31,village_camp
5,CAMP114,M161,Oui?,1,Bangui,village,Bangui,0,,,NA,0,NA,Mokumu,Bombela,"Ebonga, mokumu",Bangui,,5,0,2,6,2,M,Macao,2022,C,F,30,forest_camp
6,CAMP114,M206,Bonga2,1,Enfant,Baye,foraging,0,,,NA,0,Boundja,Sambala,Boundja,Bombingo,Aucun,Baye,NA,NA,4,6,2,F,Macao,2023,C,V,31,village_camp
7,CAMP114,M207,Bonga2,0,,,,0,,,NA,0,Bombingo,Boundja,Bombingo,,,,NA,0,4,6,2,M,Macao,2023,C,V,31,village_camp
8,CAMP035,M208,Bata,1,Adulte,Bangui,foraging,1,1,,1,0,Emeke,Mwepe,Emeke,Bongomba,213,Payo,NA,3,1,5,1,M,Macao,2023,C,V,11,village_camp
9,NA,M103,,1,Adolescent,Bangui,foraging,1,1,,1,0,Emanongo,Bongomba,Emanongo,Emeke,215,Bangui,1,NA,1,4,2,M,Macao,2022,C,F,30,forest_camp
10,NA,M104,Bangui,1,Adolescent,Boua1,foraging,0,,,NA,0,Emeke,Boundja,Emeke,Emanongo,214,Bangui,NA,NA,1,4,2,F,Macao,2022,C,F,30,forest_camp
11,CAMP056,M210,Adolescent,0,foraging,Bangui,Mike alphonsine,0,,Oui?,1,1,Dinze,Bokiba,"Bosando, dinze",La famille,,,NA,4,1,4,2,M,Macao,2023,C,V,34,village_camp
12,CAMP056,M211,Bangui,1,Enfant,Bobate,foraging,0,,,NA,0,Bokiba,Emeke,Bokiba,Bokobya,217,Bayanga,NA,5,1,4,2,F,Macao,2023,C,V,34,village_camp
13,CAMP056,M212,Bangui,1,Adolescent,Bangui,agriculture,0,,,NA,0,Bokiba,Emeke,Bokiba,Bongomba,220,Bangui,NA,4,2,5,3,M,Macao,2023,C,V,34,village_camp
14,CAMP056,M213,,1,Bangui,foraging,Bangui,0,,,NA,0,Bokiba,Bokiba,Emeke,"Ponga, bokiba",Bangui,,NA,3,7,3,3,M,Macao,2023,C,V,34,village_camp
15,CAMP056,M214,Bangui,1,Adulte,Bangui,home_visit,1,2,,1,0,Bokobya,Modjoue,Bokobya,Bosando,275,Bangui,NA,1,3,3,2,M,Macao,2023,C,V,34,village_camp
16,CAMP012,M220,Bangui,1,Adolescent,Koungou,funeral,1,1,1,NA,0,,Bokiba,,Boyemba,271,Payo,NA,0,1,2,1,M,Macao,2023,C,V,28,village_camp
17,CAMP012,M221,,1,Adulte,Bangui,foraging,1,2,,1,0,Bonguinda,Bobondjo,Bonguinda,Bongomba,234,,NA,2,2,4,1,F,Macao,2023,C,V,28,village_camp
18,CAMP012,M222,Likasa,1,Adulte,Bangui,home_visit,1,5,1,NA,0,Bongomba,Ngouta,Bongomba,Bonguinda,232,,NA,3,2,4,1,M,Macao,2023,C,V,28,village_camp
19,CAMP012,M223,,1,Adolescent,Bangui,foraging,0,,,NA,0,Bondongo,Bonguinda,Bondongo,Bokosso,236,Bangui,NA,8,3,10,1,F,Macao,2023,C,V,28,village_camp
20,CAMP012,M224,Bangui,1,Adulte,Bangui,foraging,0,,,NA,0,Tchaku,Tchaku,Bondongo,"Boundja, Tchaku",236,Bonguinda,NA,7,3,10,1,M,Macao,2023,C,V,28,village_camp
21,CAMP012,M227,Bangui,1,Adulte,Loundoungou,home_visit,1,1,,1,0,Bomboko,Bondongo,Bomboko,Bossombo,241,Macao,NA,1,4,3,1,F,Macao,2023,C,V,28,village_camp
22,CAMP012,M228,Djoube,1,Enfant,Bangui,foraging,0,,,NA,0,Bondongo,Bonguinda,Bondongo,Bomboko,240,Bangui,NA,7,5,5,1,F,Macao,2023,C,V,28,village_camp
23,CAMP012,M229,Bangui,1,Adolescent,Bangui,funeral,1,1,,1,0,Sambala,Sambala,Bondongo,Bombala et sambala,239,Djoube,NA,5,5,6,1,M,Macao,2023,C,V,28,village_camp
24,CAMP012,M230,Oui?,1,Loundoungou,home_visit,Loundoungou,0,,1,NA,0,Bossombo,,,,Bangui,Oui?,NA,NA,4,3,1,M,Macao,2023,C,V,28,village_camp
25,CAMP035,M237,Bangui,1,Adolescent,Douma,foraging,0,,,NA,0,,,,,249,Bandza,NA,3,2,5,2,F,Macao,2023,C,V,11,village_camp
26,CAMP035,M238,Bandza,1,Adolescent,Douma,foraging,1,2,,1,1,,,,,248,Bangui,NA,3,2,5,2,M,Macao,2023,C,V,11,village_camp
27,CAMP049,M239,Bangui,1,Adolescent,Mboule,funeral,0,,,NA,0,Badjoki,Boyemba,Bombingo,Sambala,251,Mboule,NA,2,1,6,1,M,Macao,2023,C,V,8,village_camp
28,CAMP049,M240,Mboule,1,Adolescent,Mboule,funeral,0,,,NA,0,Sambala,,Sambala,Bombingo,250,Bangui,NA,2,1,4,2,F,Macao,2023,C,V,8,village_camp
29,CAMP049,M241,Bangui,1,Adolescent,,foraging,0,Non,,NA,0,Bombela,Bombingo,Bombela,Bokobela,Dejà decede,Bangui,NA,2,NA,NA,NA,F,Macao,2023,C,V,8,village_camp
30,CAMP066,M242,Bangui,1,Adulte,Bangui,foraging,1,2,,1,0,Bokiba,Bokiba,Bobe,Bokiba et Eepe,254,Mboule,NA,5,1,3,1,M,Macao,2023,C,V,15,village_camp
31,CAMP066,M243,Mboule,1,Adulte,,foraging,0,,,NA,0,Bolobe,Boyemba,Bolobe,Bokiba,253,Bangui,NA,5,1,3,1,F,Macao,2023,C,V,15,village_camp
32,CAMP066,M244,,1,Adulte,Bangui,funeral,1,2,1,1,0,Baala,Bokwete,Baala,Bombingo,,Bangui,NA,3,2,4,1,F,Macao,2023,C,V,15,village_camp
33,CAMP066,M245,Bangui,1,Adulte,Bangui,foraging,0,,,NA,1,Bokiba,Eepe,Bokiba,Emanongo,,Bangui,NA,4,2,4,1,M,Macao,2023,C,V,15,village_camp
34,CAMP012,M246,,1,Enfant,Bangui,funeral,0,,,NA,1,Boyemba,Bobondjo,Boyemba,Boundja,260,Bangui,NA,5,6,2,1,M,Macao,2023,C,V,28,village_camp
35,CAMP012,M247,Bangui,0,,,,1,1,1,NA,0,Bobondjo,,,,,Bangui,NA,3,7,2,2,F,Macao,2023,C,V,28,village_camp
36,CAMP012,M248,,1,Enfant,Bangui,funeral,0,,,NA,0,Boundja,Bongomba,Boundja,Boyemba,258,Boua1,NA,5,6,2,1,F,Macao,2023,C,V,28,village_camp
37,CAMP056,M251,Mboule,1,Adolescent,Bangui,foraging,0,,,NA,0,Ekao,Ebouye,Ekao,,264,Bobate,NA,5,4,7,1,,Macao,2023,C,V,34,village_camp
38,CAMP056,,Bangui,1,Adolescent,,foraging,0,,,NA,0,Sambala,Bombingo,Sambala,Bokobya,263,Mboule,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,CAMP044,M252,,1,Enfant,,,0,,,NA,0,Boundja,,Boundja,Bokiba,266,Bangui,NA,1,3,4,1,F,Macao,2023,C,V,15,village_camp
40,CAMP066,M253,,1,Adolescent,,foraging,0,,,NA,0,,Bongomba,Emanongo,Bokiba,257,Bangui,NA,6,2,4,1,F,Macao,2023,C,V,15,village_camp
41,CAMP066,M254,Bangui,1,Adolescent,Bete1,funeral,1,1,1,NA,0,Eepe,,Eepe,Bokiba,269,Bangui,NA,1,4,3,2,M,Macao,2023,C,V,15,village_camp
42,CAMP066,M255,Bangui,1,Adolescent,Bangui,funeral,0,,,NA,0,Bokiba,Bolobe,Bokiba,Baaka,268,Bangui,NA,1,4,3,1,F,Macao,2023,C,V,15,village_camp
43,CAMP044,,,0,,,,0,,,NA,0,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,CAMP012,M257,Bangui,1,Enfant,Bangui,foraging,1,1,,1,0,Boyemba,Boundja,Boyemba,,230,Bangui,NA,0,1,2,1,F,Macao,2023,C,V,28,village_camp
45,CAMP056,M258,,1,Adulte,Bangui,foraging,0,,,NA,0,Bombingo,Emeke,Bombingo,Ebeke,,Bangui,NA,3,4,4,1,F,Macao,2023,C,V,34,village_camp
46,CAMP056,M259,Bangui,1,Adolescent,Bangui,funeral,0,,,NA,0,Bokiba,Emeke,Bokiba,Sambala,,Bangui,NA,1,5,3,1,F,Macao,2023,C,V,34,village_camp
47,CAMP056,M260,Bangui,1,Adulte,Bangui,funeral,0,,,NA,0,Bombela,Bokiba,Bombela,Bokobya,223,Bangui,NA,1,3,3,2,F,Macao,2023,C,V,34,village_camp
48,CAMP056,M261,Bangui,1,Adulte,Bangui,home_visit,0,,,NA,0,Bokiba,Epunga,Bokiba,Boyemba,,Bangui,NA,4,6,4,1,F,Macao,2023,C,V,34,village_camp
49,CAMP106,M262,Bangui,1,Adolescent,Bangui,funeral,0,,,NA,0,Engouta,Bodzemba,Engouta,Bongomba,,Bangui,NA,5,1,7,5,F,Macao,2023,C,V,25,village_camp
50,CAMP106,M263,Bangui,1,Adulte,Bangui,home_visit,1,1,1,NA,0,Boyemba,,Boyemba,Emeke,,Bangui,NA,5,3,3,5,F,Macao,2023,C,V,25,village_camp
51,CAMP106,M264,Bangui,1,Adulte,Bangui,funeral,1,1,,1,0,Bokosso,,Bokosso,Bombingo,Mort,Bangui,NA,1,4,2,5,F,Macao,2023,C,V,25,village_camp
52,CAMP106,M265,Bangui,1,Adulte,Bangui,funeral,1,1,,1,0,Bokosso,Boundja,Bokosso,Emeke,283,Bangui,NA,4,5,6,5,M,Macao,2023,C,V,25,village_camp
53,CAMP106,M266,Bangui,1,Adolescent,Bangui,funeral,0,,,NA,0,Emeke,Boyemba,Emeke,Bokosso,282,Bangui,NA,4,NA,6,5,F,Macao,2023,C,V,25,village_camp
54,CAMP106,M267,Bangui,1,Adolescent,Bangui,funeral,0,,,NA,1,Bongomba,Bombomo,Bongomba,Engouta,,Bangui,NA,10,1,7,3,M,Macao,2023,C,V,25,village_camp
55,CAMP049,M268,Bangui,1,Adolescent,Bangui,village,0,,,NA,0,Bombela,Bombingo,Bombela,Bondza,,Bangui,NA,3,NA,NA,NA,F,Macao,2023,C,V,8,village_camp
56,CAMP106,M270,Bangui,1,Adolescent,Bangui,foraging,0,,,NA,0,Eepe,Ponga,Eepe,Boyemba,,Bangui,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,CAMP104,M96,Bangui,1,Adolescent,Mboule,foraging,0,,,NA,1,Bolobe,Emeke,Bolobe,Ponga,301,Bangui,1,NA,3,2,2,M,Macao,2022,C,F,NA,forest_camp
58,CAMP104,M97,Bangui,1,Adolescent,Bangui,home_visit,0,,,NA,0,Ponga,Bongomba,Ponga,Bolobe,300,Bangui,1,NA,3,2,2,F,Macao,2022,C,F,NA,forest_camp
59,CAMP104,M271,Bangui,1,Adolescent,Mboule,foraging,0,,,NA,0,Bolobe,Ponga,Bolobe,Bokosso,303,Bangui,NA,4,2,6,5,M,Macao,2023,C,V,59,village_camp
60,CAMP104,M272,Bangui,1,Adulte,Mboule,foraging,1,1,,1,0,Bokosso,Sambala,Bokosso,Bolobe,302,Bangui,NA,4,2,6,5,M,Macao,2023,C,V,59,village_camp
61,CAMP104,M273,Bangui,1,Adolescent,Bangui,home_visit,0,,,NA,0,Bokosso,Bolobe,Bokosso,Boudje,305,Bangui,NA,0,3,2,5,F,Macao,2023,C,V,59,village_camp
62,CAMP104,M274,Bangui,1,Adolescent,Mboule,foraging,0,,,NA,0,Eepe,Endumu,Eepe,Bokosso,304,Bangui,NA,0,3,2,2,M,Macao,2023,C,V,59,village_camp
63,CAMP104,M275,Bangui,1,Adulte,Mboule,funeral,0,,,NA,0,Bodzoyi,,Bodzoyi,,Morte,,NA,3,4,1,5,M,Macao,2023,C,V,59,village_camp
64,CAMP104,M131,Bangui,1,Adolescent,Bangui,funeral,1,2,,1,1,Bonde,,,,310,Bangui,1,2,2,5,NA,M,Macao,2022,C,F,11,forest_camp
65,CAMP104,M132,Bangui,1,Adolescent,Bangui,funeral,0,,,NA,0,Sambala,Engando,Sambala,,309,Bangui,1,2,2,5,1,F,Macao,2022,C,F,11,forest_camp
66,CAMP104,M134,Mboule,1,Adolescent,Bangui,home_visit,0,,,NA,0,Emabote,Donda,Sie,Mandanda,312,Bangui,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,CAMP104,M67,,1,Adolescent,Bangui,foraging,0,,,NA,0,Mandanga,,,,314,Bangui,1,0,2,3,2,M,Macao,2022,C,F,17,forest_camp
68,CAMP104,M140,Bangui,1,Adolescent,Bobate,funeral,0,,,NA,0,Bobe,Emeke,Bobe,Bonguima,316,Mboule,1,4,2,3,2,M,Macao,2022,C,F,11,forest_camp
69,CAMP104,M148,Bangui,1,Adolescent,Bangui,funeral,0,,,NA,0,Bonguima,Bokosso,Bonguima,Bobe,315,Bangui,NA,NA,2,3,2,F,Macao,2022,C,F,11,forest_camp
70,CAMP104,M277,,1,Adulte,,foraging,0,,,NA,0,Boudje,Bodongo,Boudje,Ekao,318,,NA,7,8,10,5,F,Macao,2023,C,V,59,village_camp
71,CAMP104,M74,Bangui,1,Adulte,Bangui,home_visit,0,,,NA,1,Boudje,Bobondjo,Boudje,"Emeke, Bokosso",320,Bangui,1,4,3,2,2,M,Macao,2022,C,F,25,forest_camp
72,CAMP104,M75,Bangui,1,Adolescent,Bangui,foraging,0,,,NA,0,Emeke,,Emeke,Boudje,319,Bangui,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,CAMP104,M278,Mboule,1,Adolescent,Mboule,village,0,,,NA,0,,,,,321,Bangui,NA,3,10,5,2,M,Macao,2023,C,V,59,village_camp
74,CAMP104,M280,Bangui,1,Adulte,Mboule,home_visit,0,,,NA,0,Bodzoyi,,,,,Bangui,NA,1,11,2,2,F,Macao,2023,C,V,59,village_camp
75,CAMP104,M281,Mboule,1,Adolescent,Bangui,foraging,0,,,NA,0,Ekao,Boudje,Ekao,Sambala,,Mboule,NA,2,8,10,5,F,Macao,2023,C,V,59,village_camp
76,CAMP104,,Bangui,1,Adolescent,Bangui,home_visit,0,,,NA,0,Emeke,Bongomba,Emeke,Boyombia,313,Bangui,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,CAMP104,M282,Bangui,1,Adolescent,Mboule,funeral,0,,,NA,1,Bongomba,,Bongomba,Emokumu,"329,330","Bangui, Bangui",NA,4,13,2,1,M,Macao,2023,C,V,59,village_camp
78,CAMP104,M283,Bangui,1,Adolescent,Bangui,funeral,0,,,NA,0,Emokumu,Mobe,Boyombya,Bongomba,328,Bangui,NA,2,13,2,2,F,Macao,2023,C,V,59,village_camp
79,CAMP104,M284,Bangui,1,Adolescent,Bangui,funeral,1,1,,1,0,Bodzoyi,,Bodzoyi,,328,,NA,3,14,4,2,F,Macao,2023,C,V,59,village_camp
80,CAMP104,M298,Bangui,1,Adolescent,Bangui,funeral,0,,,NA,0,Bolobe,Bonguima,Bolobe,Bongomba,336,Bangui,NA,0,NA,NA,2,M,Macao,2023,C,V,59,village_camp
81,CAMP104,,Bangui,1,Adolescent,Bangui,funeral,0,,,NA,0,Bongomba,Emeke,Bongomba,Bolobe,335,Bangui,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,CAMP104,M285,Bangui,0,,,,0,,,NA,0,Bodzoyi,,Bodzoyi,,,,NA,0,NA,NA,NA,M,Macao,2023,C,V,59,village_camp
83,CAMP104,M286,Bangui,1,Adulte,Bangui,village,0,,,NA,0,Bodzoyi,,Bodzoyi,Kombia,Mort,Bangui,NA,2,NA,4,2,F,Macao,2023,C,V,59,village_camp
84,CAMP104,M287,Bangui,1,Adolescent,Bobate,funeral,0,,,NA,0,Boudja,Bodzoyi,Boudje,,340,Bangui,NA,0,NA,2,1,F,Macao,2023,C,V,59,village_camp
85,CAMP104,M136,Bangui,1,Adulte,Bangui,foraging,1,1,,1,0,Bongomba,Bombya,Bongomba,Emeke,342,Bobate,1,4,6,2,NA,F,Macao,2022,C,F,25,forest_camp
86,CAMP104,M130,Bangui,1,Adulte,Bangui,foraging,1,2,1,1,1,Emeke,Bombingo,Emeke,Bongomba,341,Bangui,1,4,6,2,2,M,Macao,2022,C,F,25,forest_camp
87,NA,M288,Bangui,1,Adulte,Bolobe,funeral,1,2,1,NA,0,Bonguima,Bombongo,Bonguima,Epele,346,Bangui,NA,6,1,3,1,M,Macao,2023,C,F,12,forest_camp
88,NA,M373,Bangui,1,Adolescent,Mboule,funeral,1,1,1,NA,0,Bombongo,Emeke,Bombongo,Emokumu,,Bangui,NA,1,4,4,1,F,Macao,2023,C,F,12,forest_camp
89,NA,M289,Bangui,1,Adulte,Bangui,funeral,1,,,1,0,Eepe,Bodzoyi,Eepe,Bonguima,344,Bangui,NA,7,1,3,1,F,Macao,2023,C,F,12,forest_camp
90,NA,M290,Bangui,1,Adolescent,Mboule,funeral,1,1,1,NA,0,Bodzoyi,Bokwete,Bodzoyi,Eepe,Mort,Bangui,NA,3,2,2,1,F,Macao,2023,C,F,12,forest_camp
91,NA,M291,Bangui,1,Adulte,Bangui,village,0,,,NA,0,Eepe,Bodzoyi,Eepe,,,Bandza,NA,1,3,1,1,M,Macao,2023,C,F,12,forest_camp
92,NA,M293,Bangui,1,Adolescent,bangui,foraging,1,1,,1,0,Kalanga,Boudje,Kalanga,Bonguima,350,Bangui,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,NA,M294,Bangui,1,Adolescent,Bangui,foraging,0,,,NA,0,Bonguima,Eepe,Bonguima,Kalanga,349,Bangui,NA,0,5,2,1,F,Macao,2023,C,F,12,forest_camp
94,NA,M295,Bangui,0,,,,0,,,NA,0,Bonguima,Eepe,Bonguima,,,,NA,0,4,4,2,F,Macao,2023,C,F,12,forest_camp
95,CAMP033,M296,Djoube,1,Adulte,Djoube,village,1,2,,1,0,Kalanga,,,,353,Bangui,NA,7,1,6,2,M,Macao,2023,C,F,39,forest_camp
96,CAMP033,M297,Bangui,1,Adulte,Bangui,village,1,1,,1,0,Boudje,,Boudje,Kalanga,352,Djoube,NA,6,1,6,2,F,Macao,2023,C,F,39,forest_camp
97,CAMP033,M299,Djoube,1,Adulte,Djoube,funeral,1,1,,1,0,,,,,357,Djoube,NA,3,2,5,1,M,Macao,2023,C,F,39,forest_camp
98,CAMP033,M300,Djoube,1,Adolescent,Djoube,funeral,1,1,,1,0,Kalanga,Budje,Kalanga,Bondongo,356,Djoube,NA,3,2,5,2,F,Macao,2023,C,F,39,forest_camp
99,CAMP033,M301,Mboule,1,Adulte,Bangui,funeral,1,2,,1,1,Boudje,Boudje,,,"359,360","Bobate, Mboule",NA,8,3,6,1,M,Macao,2023,C,F,39,forest_camp
100,CAMP033,M303,,1,Adolescent,Bangui,funeral,1,1,,1,0,Bokwete,Bobondjo,Bokwete,Boudje,358,Mboule,NA,3,3,6,2,F,Macao,2023,C,F,39,forest_camp
101,CAMP033,M83,Mboule,1,Enfant,Bangui,funeral,0,,,NA,1,Boudje,Ebonga,Boudje,Bodzoyi,362,Mboule,1,7,1,6,1,M,Macao,2022,C,F,11,forest_camp
102,CAMP033,M84,Bangui,1,Enfant,Bangui,funeral,0,,,NA,0,Bodzoyi,,Bodzoyi,Boudje,361,Mboule,1,7,1,6,1,F,Macao,2022,C,F,11,forest_camp
103,CAMP033,M89,Mboule,0,,,,0,,,NA,0,Boudje,Bodzoyi,Boudje,,,,NA,NA,3,2,1,M,Macao,2022,C,F,11,forest_camp
104,CAMP033,M304,Bangui,1,Enfant,Bangui,funeral,0,,,NA,0,Boudje,Bongomba,Boudje,Emeke,366,Bobate,NA,1,6,3,2,F,Macao,2023,C,F,39,forest_camp
105,CAMP033,M305,Bangui,1,Enfant,Bangui,funeral,0,,,NA,1,Bokeba,,,,365,Bangui,NA,1,6,3,1,M,Macao,2023,C,F,39,forest_camp
106,CAMP033,M306,Manfouete,1,Adulte,Manfouete,funeral,0,,,NA,0,Bolobe,Botengue,Bolobe,Boyengue,368,,NA,5,7,6,1,M,Macao,2023,C,F,39,forest_camp
107,CAMP033,M307,Manfouete,1,Adolescent,Manfouete,funeral,0,,,NA,0,Boyengue,,Boyengue,Bolobe,367,Manfouete,NA,4,7,6,1,F,Macao,2023,C,F,39,forest_camp
108,CAMP033,M308,Bangui,1,Adulte,Bangui,home_visit,0,,,NA,0,Ebonga,Emeke,Ebonga,Boudje,370,Bangui,NA,2,8,4,2,M,Macao,2023,C,F,39,forest_camp
109,CAMP033,M309,Bangui,1,Adolescent,Bangui,home_visit,0,,,NA,0,Boudje,Bobondzo,Boudje,Ebonga,369,Bangui,NA,2,8,4,2,F,Macao,2023,C,F,39,forest_camp
110,CAMP075,M310,Bangui,1,Adolescent,Bangui,funeral,0,,,NA,0,Bopo,,,,,Bangui,NA,4,1,1,1,F,Macao,2023,C,F,8,forest_camp
111,CAMP075,M311,Mboule,1,Adolescent,bangui,funeral,0,,,NA,0,Boudje,Bopo,Boudje,Bokobya,373,Bobate,NA,2,2,2,2,F,Macao,2023,C,F,8,forest_camp
112,CAMP075,M312,Bangui,1,Adolescent,Bangui,funeral,1,2,1,1,1,Bokobya,Mongomba,Bokobya,Boudje,372,Mboule,NA,6,2,2,2,M,Macao,2023,C,F,8,forest_camp
113,CAMP075,M313,Bangui,1,Adulte,Bangui,village,1,1,,1,0,Eepe,Emeke,Eepe,Boudje,375,Bangui,NA,0,3,2,2,M,Macao,2023,C,F,8,forest_camp
114,CAMP075,M314,Bangui,1,Adolescent,Bangui,village,0,,,NA,0,Boudje,,Boudje,,374,Bangui,NA,1,3,2,2,F,Macao,2023,C,F,8,forest_camp
115,CAMP075,M315,Bangui,0,,,,0,,,NA,0,Endoumou,Boudje,Endomou,,,,NA,0,4,3,2,M,Macao,2023,C,F,8,forest_camp
116,CAMP075,M316,Bangui,0,,,,0,,,NA,0,,,,,,,NA,0,4,3,2,M,Macao,2023,C,F,8,forest_camp
117,CAMP029,M317,Bangui,0,,,,0,,,NA,0,Eponga,Eepe,Eponga,,,,NA,0,1,1,1,M,Macao,2023,C,F,9,forest_camp
118,CAMP037,M318,Bangui,1,Adolescent,Bangui,village,0,,,NA,0,Bonguima,Bombondji,Bonguima,Ebonga,380,Bangui,NA,4,1,5,2,M,Macao,2023,C,F,15,forest_camp
119,CAMP037,M319,,1,Enfant,Bangui,funeral,1,1,,1,0,Ebonga,,Ebonga,Bonguima,379,Bangui,NA,3,1,5,2,F,Macao,2023,C,F,15,forest_camp
120,CAMP037,M321,Bangui,1,Adolescent,Mboule,village,1,1,,1,0,Ebonga,Emeke,Ebonga,Sambala,382,Mboule,NA,4,2,5,1,F,Macao,2023,C,F,15,forest_camp
121,CAMP037,M322,Bangii,1,Adolescent,Bangui,funeral,1,1,,1,0,Sambala,Bonguima,Sambala,Ebonga,381,Bangui,NA,3,2,5,2,M,Macao,2023,C,F,15,forest_camp
122,CAMP037,M323,Bangui,0,,,,0,,,NA,0,Bonguima,,Bonguima,,,,NA,0,3,1,2,M,Macao,2023,C,F,15,forest_camp
123,CAMP037,M324,Bangui,1,Adolescent,Bangui,funeral,1,1,,1,0,Bongomba,,Bongomba,Bonguima,384,Bangui,NA,2,4,3,2,M,Macao,2023,C,F,15,forest_camp
124,CAMP037,M325,Bangui,1,Adolescent,Bangui,funeral,0,,,NA,0,Bonguima,Ebonga,Bonguima,Bongomba,384,Bangui,NA,1,4,3,1,F,Macao,2023,C,F,15,forest_camp
125,CAMP070,M326,Macao,1,Adulte,Zingo,funeral,0,,,NA,0,Bombembe,Bombela,Bombembe,Bossombo,387,Zingo,NA,4,1,6,2,F,Macao,2023,C,V,25,village_camp
126,CAMP070,M328,Zingo,1,Adolescent,Macao,foraging,1,1,,1,1,Bombembe,Bamouanga,Bombembe,Boteke,389,Macao,NA,7,2,5,4,M,Macao,2023,C,V,25,village_camp
