loc_red,mean_prop_count_1,mean_prop_count_2,mean_prop_count_3,mean_prop_count_4,mean_prop_count_5,mean_prop_count_6,mean_places_total,
F,0.25,0.10,0.06,0.02,0.01,0.50,6.18,
V,0.25,0.11,0.12,0.03,0.03,0.15,6.90,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,loc_red,mean_prop_count_1,mean_prop_count_2,mean_prop_count_3,mean_prop_count_4,mean_prop_count_5,mean_prop_count_6
,,F,0.25,0.10,0.06,0.02,0.01,0.50
,,V,0.25,0.11,0.12,0.03,0.03,0.15
,,,,,,,,
,,,,,,,,
,,,,loc_red,Once ,2-5 times,More than 5 times,
,,,,F,0.25,0.19,0.50,0.95
,,,,V,0.25,0.28,0.15,0.69