"","Estimate","Est.Error","Q1.5","Q2.5","Q5.5","Q25","Q75","Q16.5","Q10","Q90","Q94.5","Q98.5","Q97.5","sex","age","region"
"1",67001.1610688549,10243.6638209919,49507.9303245182,50755.8025747193,53052.0190446982,59746.5225293001,72780.8343971048,57395.3089593155,55177.0922310096,80530.2612370129,85168.5634251823,94200.3593686505,90464.2451435797,"F","Adolescent","Dongou"
"2",144908.739315448,47030.6723031216,62031.0547892566,72512.1610141044,88189.3429316796,117164.668122194,164502.464192042,108043.207910664,98215.6129003182,197237.802174428,219413.791479931,271676.877451216,250149.511160547,"M","Adolescent","Dongou"
"3",91981.1422333629,41069.4715201061,31741.4456963043,37447.403149345,47538.3738712715,71120.2168711894,104485.226248267,64297.9577558023,56350.0173259587,129680.759075324,149975.134114833,204629.836196523,180251.03064299,"F","Adulte","Dongou"
"4",197093.8050299,105653.16149133,54255.9606525279,65897.5214665712,86573.5388084246,143271.082142218,228776.455070055,126667.313463763,106879.708706889,290168.96824789,340492.832187785,475800.547599793,422122.059995673,"M","Adulte","Dongou"
"5",99709.8623671427,24196.3957224457,52595.1641126587,59575.4025867755,68562.2162346369,86186.091553515,110903.990356215,80996.2042007983,75438.4280466658,124918.208477722,134069.060298535,159477.247063649,148409.431895844,"F","Personne âgée","Dongou"
"6",215865.740940903,89058.7021474573,77090.023988798,92142.7560357888,115902.712286957,169917.017015354,247484.9377908,153291.550532647,135717.678084705,297900.207180626,337472.279642271,434473.101544224,395029.10410829,"M","Personne âgée","Dongou"
"7",61113.1453931878,7431.53611829907,46706.4279348624,47912.5133220117,50253.8398697447,55979.7323262316,65612.1057948929,54058.8336077954,52087.5866540072,70790.3527822613,73638.6908700446,79336.610583082,77025.6678176259,"F","Adolescent","Macao"
"8",132100.378442064,40362.8643261176,58604.7665790489,67463.7787513549,81413.774838071,109473.576590932,148935.926138205,101018.613125597,91829.627441255,174643.061969155,193766.361900676,242692.509773183,221577.762702563,"M","Adolescent","Macao"
"9",84019.4323656214,37054.5619227033,29477.8330342794,35072.6652488775,44436.006697654,65773.9980475948,95020.9179514151,59140.8861711552,52124.948991924,117166.480457379,135007.67287976,188360.913338306,162331.095145413,"F","Adulte","Macao"
"10",179915.237896193,94903.0254939324,50966.0358779053,61350.8873777528,81171.546897546,131938.25830387,207463.749810293,117558.611940788,99504.2051902022,264291.758447377,304455.156499149,433523.383273592,380200.348110991,"M","Adulte","Macao"
"11",91020.872867473,21504.7522346284,50831.784617976,57071.2634462534,65034.4207607513,79956.676525915,99457.1523672319,75603.3623959906,70726.6356778696,111283.055257307,119656.339339351,144593.909939325,132824.490357406,"F","Personne âgée","Macao"
"12",196906.264575535,78495.0515146865,73627.6917150187,87612.427320226,108702.657830303,157566.103638378,223951.467174972,143254.882329582,126847.286764099,267221.165838686,300622.329413124,393639.720109513,357939.811574438,"M","Personne âgée","Macao"
"13",57306.2603184442,8552.19904899083,39628.7162987345,41110.2936533495,44063.3028915167,51544.4137384484,62685.6477351574,49121.7788379805,46592.5389273504,68067.5186935976,71076.8264853836,77325.1850352965,75154.3383948487,"F","Adolescent","Minganga"
"14",123763.061108708,39049.2369426361,53550.0291470866,62434.4202908088,74662.2122528869,100812.983126997,141012.496775587,92818.0766630149,84574.6192777174,166225.928477351,184342.223287826,229280.641985982,211139.222245407,"M","Adolescent","Minganga"
"15",78804.6357473231,35205.8192084112,26968.8589762953,32323.761465571,41243.9155932616,60216.9177186706,89576.8732608594,54253.728585648,47817.4201468966,111451.123696274,127325.714816144,178921.598977655,156333.832121715,"F","Adulte","Minganga"
"16",168611.526407268,88793.5585079374,44791.0394293042,55823.1428434517,76527.7812842717,121778.714067885,195079.423037983,107900.07966875,91949.6167802743,249718.26977454,291375.457989121,416123.747562082,366746.570059196,"M","Adulte","Minganga"
"17",85346.6238313826,21800.4861833098,46382.2419145698,52138.1270474622,58566.8108379638,73409.2733587397,94334.8019947611,68921.9937048937,63947.4913783109,106691.421084547,115665.461955192,139019.151502519,128745.515358537,"F","Personne âgée","Minganga"
"18",184518.020519647,75267.5052777059,69100.2604363734,81894.5232090789,102159.239226653,144514.46390773,210558.847472187,131817.525368358,117432.580042582,254643.435050306,287030.276921677,379692.446515151,341872.400744226,"M","Personne âgée","Minganga"
"19",53986.0408890631,9752.89833449498,34529.2146753829,36034.2009219079,38817.1878191295,47066.1369492325,60372.6197456205,44298.3812946867,41597.7512244032,66219.7908904133,69533.9493058909,76200.9563523732,73633.2391613953,"F","Adolescent","Enyelle"
"20",116669.533377548,38405.8134965433,47429.9970019845,54514.041932415,66139.337681753,92984.8069108979,135251.826444341,84683.1434659335,75764.4469770338,159691.661346627,177702.133128887,219936.330133155,201571.983000633,"M","Adolescent","Enyelle"
"21",74247.916438195,34675.4571776774,25729.5174791831,30555.9201720036,38312.2537487476,54947.8388935599,85803.1758871065,49923.0459498274,44698.7182708619,107377.217210903,123746.512643246,174297.466789456,151805.571828092,"F","Adulte","Enyelle"
"22",158913.723137351,86937.3511627727,42584.0414152996,52224.6291515492,69013.5490767742,112872.41684472,185532.47628136,98774.5296249266,83846.9713202009,238109.446512575,278070.672370547,392131.584396838,341427.598026319,"M","Adulte","Enyelle"
"23",80333.4955731762,22380.509704252,42872.2137417218,47413.084909687,53464.0593115738,67549.5853922828,90000.5957166845,62886.5268124236,58202.5476454142,102446.785345115,111687.464911665,138131.525216776,126696.260669629,"F","Personne âgée","Enyelle"
"24",173721.259665852,72613.2308192427,62142.8489031417,73363.7265314345,91652.6436206294,134084.140238917,200873.275800914,120732.019843851,106969.883356731,243225.201450758,273434.911350638,356824.646016826,321622.63054697,"M","Personne âgée","Enyelle"
"25",75348.880177388,24971.818043675,43230.9916250646,45746.1786665648,49715.9012857316,59148.3942709301,84480.8721940655,55928.3276243455,52936.6137561955,108349.720848507,124203.984670747,154461.200046236,143981.627790601,"F","Adolescent","Betou"
"26",162907.81468754,75026.2506906084,63501.7709270965,72096.3037380097,85898.2328494952,118701.174315257,188335.873702383,108044.371434513,96687.9298765469,247134.152016419,285440.138216191,382499.264242063,342576.8373586,"M","Adolescent","Betou"
"27",101947.702123453,45682.0696611164,29305.6407110111,35728.9377887713,46059.7006808821,72844.1779995253,122588.397339121,63962.8327563493,55223.4270082236,156428.157853459,177445.94084237,225132.175800692,205100.791290566,"F","Adulte","Betou"
"28",218408.378519756,117870.001032178,52585.2840493825,63138.5387453279,87243.719573035,148414.859281031,262683.537733065,127876.874446624,107774.966456595,344368.803585622,397129.412822617,548698.380336226,480241.90920915,"M","Adulte","Betou"
"29",111999.707633667,42978.076580953,52443.4402610337,57653.862286139,66436.1095183155,85835.4953745618,127357.032647828,79883.9003411717,73279.3533626086,163738.011410564,189068.45732,244016.770740888,221593.45027198,"F","Personne âgée","Betou"
"30",242469.511105555,132631.390201239,79930.3298237099,94302.1951627245,118207.825231612,172270.864102085,280553.811789719,155010.333402992,137251.452927503,372730.06471519,438854.892204478,594677.27814111,524274.331362547,"M","Personne âgée","Betou"
